0;A
1;S
2;D
3;F
4;H
5;G
6;Z
7;X
8;C
9;V
10;ยง
11;B
12;Q
13;W
14;E
15;R
16;Y
17;T
18;1
19;2
20;3
21;4
22;6
23;5
24;=
25;9
26;7
27;-
28;8
29;0
30;]
31;O
32;U
33;[
34;I
35;P
36;Enter
37;L
38;J
39;Semicolon
40;K
41;";"
42;Backslash
43;<
44;/
45;N
46;M
47;>
48;Tab
49;Spacebar
50;`
51;Backspace
53;Escape
65;
67;
69;
75;
76;
78;
82;
83;
84;
85;
86;
87;
88;
89;
91;
92;
101;
109;
113;
115;
116;
117;
119;
121;
123;Left Arrow
124;Right Arrow
125;Down Arrow
126;Up Arrow
130;
131;
145;
160;
2000;Shift
2001;Alt
2002;Ctrl
2003;Cmd
2004;